timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1572324146538,102,Search Video,200,OK,Thread Group 1-412,text,true,,1097,311,463,463,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,102,0,35
1572324146545,98,Search Video,200,OK,Thread Group 1-417,text,true,,1097,311,463,463,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,98,0,38
1572324146499,144,Search Video,200,OK,Thread Group 1-394,text,true,,1097,311,463,463,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,144,0,49
1572324146541,103,Search Video,200,OK,Thread Group 1-414,text,true,,1097,311,465,465,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,103,0,34
1572324146545,100,Search Video,200,OK,Thread Group 1-416,text,true,,1097,311,465,465,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,100,0,34
1572324146117,528,Search Video,200,OK,Thread Group 1-240,text,true,,1097,311,465,465,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,528,0,301
1572324146480,166,Search Video,200,OK,Thread Group 1-378,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,166,0,67
1572324146503,143,Search Video,200,OK,Thread Group 1-397,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,143,0,48
1572324146515,131,Search Video,200,OK,Thread Group 1-401,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,131,0,36
1572324146448,198,Search Video,200,OK,Thread Group 1-350,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,198,0,85
1572324146476,171,Search Video,200,OK,Thread Group 1-372,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,170,0,69
1572324146477,170,Search Video,200,OK,Thread Group 1-373,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,170,0,69
1572324146524,123,Search Video,200,OK,Thread Group 1-406,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,123,0,34
1572324146516,131,Search Video,200,OK,Thread Group 1-402,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,131,0,36
1572324146529,118,Search Video,200,OK,Thread Group 1-409,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,118,0,31
1572324146089,558,Search Video,200,OK,Thread Group 1-187,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,558,0,329
1572324146519,128,Search Video,200,OK,Thread Group 1-404,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,128,0,35
1572324146451,197,Search Video,200,OK,Thread Group 1-352,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,197,0,82
1572324146068,580,Search Video,200,OK,Thread Group 1-25,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,580,0,377
1572324146503,145,Search Video,200,OK,Thread Group 1-396,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,145,0,48
1572324146483,165,Search Video,200,OK,Thread Group 1-380,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,165,0,63
1572324146510,138,Search Video,200,OK,Thread Group 1-399,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,138,0,41
1572324146516,132,Search Video,200,OK,Thread Group 1-403,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,132,0,35
1572324146539,109,Search Video,200,OK,Thread Group 1-413,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,109,0,34
1572324146244,405,Search Video,200,OK,Thread Group 1-282,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,404,0,177
1572324146066,583,Search Video,200,OK,Thread Group 1-183,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,583,0,354
1572324146500,149,Search Video,200,OK,Thread Group 1-395,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,149,0,48
1572324146109,540,Search Video,200,OK,Thread Group 1-98,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,540,0,339
1572324146226,423,Search Video,200,OK,Thread Group 1-267,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,423,0,245
1572324146453,196,Search Video,200,OK,Thread Group 1-355,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,196,0,81
1572324146102,547,Search Video,200,OK,Thread Group 1-233,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,547,0,314
1572324146067,583,Search Video,200,OK,Thread Group 1-15,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,583,0,350
1572324146065,586,Search Video,200,OK,Thread Group 1-71,text,true,,1097,311,464,464,http://d3l63rih9mbuez.cloudfront.net/catalog/v1.0/searches?locale=en&page=1&type=series&perPage=10&search=Teenage%20Mutant,586,0,328
