timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1572323169314,703,Access Animation Page,200,OK,Thread Group 1-210,text,true,,7889,234,795,795,http://dvpsxs8umdwf3.cloudfront.net/animation,245,0,217
1572323169324,698,Access Animation Page,200,OK,Thread Group 1-76,text,true,,7889,234,795,795,http://dvpsxs8umdwf3.cloudfront.net/animation,235,0,197
1572323169321,712,Access Animation Page,200,OK,Thread Group 1-379,text,true,,7889,234,795,795,http://dvpsxs8umdwf3.cloudfront.net/animation,238,0,199
1572323169321,713,Access Animation Page,200,OK,Thread Group 1-143,text,true,,7889,234,795,795,http://dvpsxs8umdwf3.cloudfront.net/animation,238,0,211
1572323169322,698,Access Animation Page,200,OK,Thread Group 1-146,text,true,,7889,234,795,795,http://dvpsxs8umdwf3.cloudfront.net/animation,237,0,201
1572323169316,736,Access Animation Page,200,OK,Thread Group 1-367,text,true,,7889,234,794,794,http://dvpsxs8umdwf3.cloudfront.net/animation,434,0,229
1572323169317,736,Access Animation Page,200,OK,Thread Group 1-256,text,true,,7889,234,794,794,http://dvpsxs8umdwf3.cloudfront.net/animation,600,0,168
1572323169315,738,Access Animation Page,200,OK,Thread Group 1-341,text,true,,7889,234,794,794,http://dvpsxs8umdwf3.cloudfront.net/animation,602,0,171
1572323169315,739,Access Animation Page,200,OK,Thread Group 1-94,text,true,,7889,234,792,792,http://dvpsxs8umdwf3.cloudfront.net/animation,603,0,171
1572323169325,729,Access Animation Page,200,OK,Thread Group 1-54,text,true,,7889,234,792,792,http://dvpsxs8umdwf3.cloudfront.net/animation,593,0,161
1572323169321,733,Access Animation Page,200,OK,Thread Group 1-365,text,true,,7889,234,792,792,http://dvpsxs8umdwf3.cloudfront.net/animation,598,0,165
1572323169315,739,Access Animation Page,200,OK,Thread Group 1-51,text,true,,7889,234,791,791,http://dvpsxs8umdwf3.cloudfront.net/animation,605,0,171
1572323169314,741,Access Animation Page,200,OK,Thread Group 1-331,text,true,,7889,234,790,790,http://dvpsxs8umdwf3.cloudfront.net/animation,604,0,172
1572323169318,737,Access Animation Page,200,OK,Thread Group 1-114,text,true,,7889,234,790,790,http://dvpsxs8umdwf3.cloudfront.net/animation,602,0,167
1572323169321,737,Access Animation Page,200,OK,Thread Group 1-290,text,true,,7889,234,785,785,http://dvpsxs8umdwf3.cloudfront.net/animation,595,0,224
1572323169316,742,Access Animation Page,200,OK,Thread Group 1-19,text,true,,7889,234,785,785,http://dvpsxs8umdwf3.cloudfront.net/animation,601,0,170
1572323169323,744,Access Animation Page,200,OK,Thread Group 1-119,text,true,,7889,234,785,785,http://dvpsxs8umdwf3.cloudfront.net/animation,597,0,163
1572323169314,753,Access Animation Page,200,OK,Thread Group 1-156,text,true,,7889,234,785,785,http://dvpsxs8umdwf3.cloudfront.net/animation,606,0,171
1572323169314,753,Access Animation Page,200,OK,Thread Group 1-272,text,true,,7889,234,785,785,http://dvpsxs8umdwf3.cloudfront.net/animation,606,0,171
1572323169313,826,Access Animation Page,200,OK,Thread Group 1-280,text,true,,7889,234,782,782,http://dvpsxs8umdwf3.cloudfront.net/animation,607,0,172
1572323169303,836,Access Animation Page,200,OK,Thread Group 1-249,text,true,,7889,234,782,782,http://dvpsxs8umdwf3.cloudfront.net/animation,617,0,183
1572323169316,824,Access Animation Page,200,OK,Thread Group 1-340,text,true,,7889,234,783,783,http://dvpsxs8umdwf3.cloudfront.net/animation,605,0,171
1572323169324,816,Access Animation Page,200,OK,Thread Group 1-129,text,true,,7889,234,781,781,http://dvpsxs8umdwf3.cloudfront.net/animation,597,0,161
1572323169302,839,Access Animation Page,200,OK,Thread Group 1-325,text,true,,7889,234,780,780,http://dvpsxs8umdwf3.cloudfront.net/animation,619,0,183
1572323169301,840,Access Animation Page,200,OK,Thread Group 1-29,text,true,,7889,234,780,780,http://dvpsxs8umdwf3.cloudfront.net/animation,622,0,183
1572323169302,840,Access Animation Page,200,OK,Thread Group 1-153,text,true,,7889,234,780,780,http://dvpsxs8umdwf3.cloudfront.net/animation,619,0,184
1572323169314,828,Access Animation Page,200,OK,Thread Group 1-333,text,true,,7889,234,780,780,http://dvpsxs8umdwf3.cloudfront.net/animation,607,0,171
1572323169302,840,Access Animation Page,200,OK,Thread Group 1-405,text,true,,7889,234,778,778,http://dvpsxs8umdwf3.cloudfront.net/animation,620,0,185
1572323169326,817,Access Animation Page,200,OK,Thread Group 1-53,text,true,,7889,234,777,777,http://dvpsxs8umdwf3.cloudfront.net/animation,595,0,160
1572323169297,846,Access Animation Page,200,OK,Thread Group 1-67,text,true,,7889,234,777,777,http://dvpsxs8umdwf3.cloudfront.net/animation,625,0,190
1572323169322,821,Access Animation Page,200,OK,Thread Group 1-116,text,true,,7889,234,775,775,http://dvpsxs8umdwf3.cloudfront.net/animation,600,0,165
1572323169324,820,Access Animation Page,200,OK,Thread Group 1-31,text,true,,7889,234,773,773,http://dvpsxs8umdwf3.cloudfront.net/animation,599,0,161
1572323169322,822,Access Animation Page,200,OK,Thread Group 1-356,text,true,,7889,234,773,773,http://dvpsxs8umdwf3.cloudfront.net/animation,601,0,164
1572323169313,831,Access Animation Page,200,OK,Thread Group 1-344,text,true,,7889,234,773,773,http://dvpsxs8umdwf3.cloudfront.net/animation,610,0,172
1572323169322,822,Access Animation Page,200,OK,Thread Group 1-138,text,true,,7889,234,773,773,http://dvpsxs8umdwf3.cloudfront.net/animation,601,0,165
1572323169302,844,Access Animation Page,200,OK,Thread Group 1-384,text,true,,7889,234,767,767,http://dvpsxs8umdwf3.cloudfront.net/animation,619,0,183
1572323169317,829,Access Animation Page,200,OK,Thread Group 1-335,text,true,,7889,234,767,767,http://dvpsxs8umdwf3.cloudfront.net/animation,620,0,169
1572323169317,830,Access Animation Page,200,OK,Thread Group 1-212,text,true,,7889,234,765,765,http://dvpsxs8umdwf3.cloudfront.net/animation,624,0,232
1572323169314,833,Access Animation Page,200,OK,Thread Group 1-5,text,true,,7889,234,765,765,http://dvpsxs8umdwf3.cloudfront.net/animation,625,0,172
