timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1572323449178,176,Access Live TV Page,200,OK,Thread Group 1-35,text,true,,7873,229,89,89,http://dvpsxs8umdwf3.cloudfront.net/live,176,0,131
1572323449249,113,Access Live TV Page,200,OK,Thread Group 1-69,text,true,,7873,229,90,90,http://dvpsxs8umdwf3.cloudfront.net/live,113,0,58
1572323449176,189,Access Live TV Page,200,OK,Thread Group 1-50,text,true,,7873,229,90,90,http://dvpsxs8umdwf3.cloudfront.net/live,183,0,138
1572323449182,183,Access Live TV Page,200,OK,Thread Group 1-32,text,true,,7873,229,90,90,http://dvpsxs8umdwf3.cloudfront.net/live,177,0,132
1572323449179,178,Access Live TV Page,200,OK,Thread Group 1-45,text,true,,7873,229,90,90,http://dvpsxs8umdwf3.cloudfront.net/live,178,0,130
1572323449174,185,Access Live TV Page,200,OK,Thread Group 1-54,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,182,0,138
1572323449177,179,Access Live TV Page,200,OK,Thread Group 1-51,text,true,,7873,229,90,90,http://dvpsxs8umdwf3.cloudfront.net/live,179,0,133
1572323449295,65,Access Live TV Page,200,OK,Thread Group 1-78,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,64,0,17
1572323449177,183,Access Live TV Page,200,OK,Thread Group 1-38,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,183,0,131
1572323449180,180,Access Live TV Page,200,OK,Thread Group 1-7,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,177,0,133
1572323449290,70,Access Live TV Page,200,OK,Thread Group 1-77,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,70,0,21
1572323449182,178,Access Live TV Page,200,OK,Thread Group 1-34,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,178,0,122
1572323449179,182,Access Live TV Page,200,OK,Thread Group 1-27,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,182,0,131
1572323449178,178,Access Live TV Page,200,OK,Thread Group 1-4,text,true,,7873,229,90,90,http://dvpsxs8umdwf3.cloudfront.net/live,178,0,132
1572323449182,179,Access Live TV Page,200,OK,Thread Group 1-41,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,179,0,120
1572323449171,190,Access Live TV Page,200,OK,Thread Group 1-30,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,188,0,142
1572323449176,185,Access Live TV Page,200,OK,Thread Group 1-19,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,185,0,131
1572323449176,185,Access Live TV Page,200,OK,Thread Group 1-36,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,184,0,137
1572323449182,178,Access Live TV Page,200,OK,Thread Group 1-16,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,178,0,123
1572323449178,177,Access Live TV Page,200,OK,Thread Group 1-44,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,176,0,130
1572323449178,177,Access Live TV Page,200,OK,Thread Group 1-13,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,176,0,125
1572323449204,151,Access Live TV Page,200,OK,Thread Group 1-60,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,151,0,105
1572323449177,177,Access Live TV Page,200,OK,Thread Group 1-39,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,177,0,132
1572323449306,56,Access Live TV Page,200,OK,Thread Group 1-79,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,55,0,5
1572323449264,98,Access Live TV Page,200,OK,Thread Group 1-72,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,97,0,45
1572323449194,168,Access Live TV Page,200,OK,Thread Group 1-57,text,true,,7873,229,90,90,http://dvpsxs8umdwf3.cloudfront.net/live,168,0,108
1572323449183,172,Access Live TV Page,200,OK,Thread Group 1-43,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,172,0,123
1572323449282,88,Access Live TV Page,200,OK,Thread Group 1-75,text,true,,7873,229,92,92,http://dvpsxs8umdwf3.cloudfront.net/live,74,0,31
1572323449183,188,Access Live TV Page,200,OK,Thread Group 1-21,text,true,,7873,229,91,91,http://dvpsxs8umdwf3.cloudfront.net/live,173,0,131
1572323449183,207,Access Live TV Page,200,OK,Thread Group 1-42,text,true,,7873,229,67,67,http://dvpsxs8umdwf3.cloudfront.net/live,177,0,130
1572323449171,219,Access Live TV Page,200,OK,Thread Group 1-31,text,true,,7873,229,67,67,http://dvpsxs8umdwf3.cloudfront.net/live,189,0,142
1572323449176,224,Access Live TV Page,200,OK,Thread Group 1-46,text,true,,7873,229,65,65,http://dvpsxs8umdwf3.cloudfront.net/live,180,0,129
1572323449183,217,Access Live TV Page,200,OK,Thread Group 1-52,text,true,,7873,229,65,65,http://dvpsxs8umdwf3.cloudfront.net/live,171,0,119
1572323449176,225,Access Live TV Page,200,OK,Thread Group 1-25,text,true,,7873,229,66,66,http://dvpsxs8umdwf3.cloudfront.net/live,185,0,139
1572323449284,129,Access Live TV Page,200,OK,Thread Group 1-76,text,true,,7873,229,67,67,http://dvpsxs8umdwf3.cloudfront.net/live,72,0,41
1572323449177,236,Access Live TV Page,200,OK,Thread Group 1-3,text,true,,7873,229,67,67,http://dvpsxs8umdwf3.cloudfront.net/live,178,0,147
1572323449176,238,Access Live TV Page,200,OK,Thread Group 1-47,text,true,,7873,229,65,65,http://dvpsxs8umdwf3.cloudfront.net/live,189,0,151
1572323449184,230,Access Live TV Page,200,OK,Thread Group 1-56,text,true,,7873,229,65,65,http://dvpsxs8umdwf3.cloudfront.net/live,181,0,142
1572323449310,105,Access Live TV Page,200,OK,Thread Group 1-80,text,true,,7873,229,64,64,http://dvpsxs8umdwf3.cloudfront.net/live,56,0,17
1572323449176,239,Access Live TV Page,200,OK,Thread Group 1-6,text,true,,7873,229,64,64,http://dvpsxs8umdwf3.cloudfront.net/live,194,0,151
1572323449176,241,Access Live TV Page,200,OK,Thread Group 1-11,text,true,,7873,229,62,62,http://dvpsxs8umdwf3.cloudfront.net/live,193,0,151
1572323449182,235,Access Live TV Page,200,OK,Thread Group 1-8,text,true,,7885,229,62,62,http://dvpsxs8umdwf3.cloudfront.net/live,192,0,145
1572323449236,187,Access Live TV Page,200,OK,Thread Group 1-66,text,true,,7885,229,61,61,http://dvpsxs8umdwf3.cloudfront.net/live,138,0,92
1572323449213,210,Access Live TV Page,200,OK,Thread Group 1-62,text,true,,7885,229,61,61,http://dvpsxs8umdwf3.cloudfront.net/live,162,0,117
1572323449310,113,Access Live TV Page,200,OK,Thread Group 1-81,text,true,,7885,229,61,61,http://dvpsxs8umdwf3.cloudfront.net/live,65,0,18
1572323449171,252,Access Live TV Page,200,OK,Thread Group 1-33,text,true,,7885,229,61,61,http://dvpsxs8umdwf3.cloudfront.net/live,204,0,156
1572323449209,217,Access Live TV Page,200,OK,Thread Group 1-61,text,true,,7885,229,58,58,http://dvpsxs8umdwf3.cloudfront.net/live,171,0,120
1572323449171,255,Access Live TV Page,200,OK,Thread Group 1-49,text,true,,7885,229,58,58,http://dvpsxs8umdwf3.cloudfront.net/live,209,0,158
1572323449243,192,Access Live TV Page,200,OK,Thread Group 1-68,text,true,,7885,229,57,57,http://dvpsxs8umdwf3.cloudfront.net/live,151,0,86
1572323449259,176,Access Live TV Page,200,OK,Thread Group 1-71,text,true,,7885,229,57,57,http://dvpsxs8umdwf3.cloudfront.net/live,135,0,70
1572323449242,194,Access Live TV Page,200,OK,Thread Group 1-67,text,true,,7885,229,56,56,http://dvpsxs8umdwf3.cloudfront.net/live,154,0,87
1572323449184,252,Access Live TV Page,200,OK,Thread Group 1-5,text,true,,7885,229,56,56,http://dvpsxs8umdwf3.cloudfront.net/live,212,0,145
1572323449177,260,Access Live TV Page,200,OK,Thread Group 1-20,text,true,,7885,229,56,56,http://dvpsxs8umdwf3.cloudfront.net/live,221,0,153
1572323449181,257,Access Live TV Page,200,OK,Thread Group 1-40,text,true,,7885,229,55,55,http://dvpsxs8umdwf3.cloudfront.net/live,217,0,154
1572323449183,255,Access Live TV Page,200,OK,Thread Group 1-26,text,true,,7885,229,54,54,http://dvpsxs8umdwf3.cloudfront.net/live,215,0,149
1572323449176,262,Access Live TV Page,200,OK,Thread Group 1-22,text,true,,7885,229,54,54,http://dvpsxs8umdwf3.cloudfront.net/live,222,0,156
1572323449177,261,Access Live TV Page,200,OK,Thread Group 1-48,text,true,,7885,229,54,54,http://dvpsxs8umdwf3.cloudfront.net/live,221,0,155
1572323449183,261,Access Live TV Page,200,OK,Thread Group 1-2,text,true,,7885,229,51,51,http://dvpsxs8umdwf3.cloudfront.net/live,218,0,147
1572323449270,175,Access Live TV Page,200,OK,Thread Group 1-73,text,true,,7885,229,51,51,http://dvpsxs8umdwf3.cloudfront.net/live,132,0,59
1572323449183,267,Access Live TV Page,200,OK,Thread Group 1-10,text,true,,7885,229,50,50,http://dvpsxs8umdwf3.cloudfront.net/live,223,0,148
1572323449195,259,Access Live TV Page,200,OK,Thread Group 1-58,text,true,,7885,229,49,49,http://dvpsxs8umdwf3.cloudfront.net/live,210,0,108
1572323449316,142,Access Live TV Page,200,OK,Thread Group 1-82,text,true,,7885,229,49,49,http://dvpsxs8umdwf3.cloudfront.net/live,91,0,17
1572323449172,287,Access Live TV Page,200,OK,Thread Group 1-9,text,true,,7885,229,49,49,http://dvpsxs8umdwf3.cloudfront.net/live,235,0,160
1572323449178,285,Access Live TV Page,200,OK,Thread Group 1-1,text,true,,7885,229,48,48,http://dvpsxs8umdwf3.cloudfront.net/live,230,0,161
1572323449172,295,Access Live TV Page,200,OK,Thread Group 1-28,text,true,,7885,229,49,49,http://dvpsxs8umdwf3.cloudfront.net/live,238,0,169
1572323449328,147,Access Live TV Page,200,OK,Thread Group 1-84,text,true,,7885,229,48,48,http://dvpsxs8umdwf3.cloudfront.net/live,111,0,64
1572323449334,142,Access Live TV Page,200,OK,Thread Group 1-85,text,true,,7885,229,48,48,http://dvpsxs8umdwf3.cloudfront.net/live,105,0,63
1572323449182,296,Access Live TV Page,200,OK,Thread Group 1-23,text,true,,7885,229,48,48,http://dvpsxs8umdwf3.cloudfront.net/live,262,0,214
